issues_totalCount
15358
0
569
241
9219
10027
464
263
29225
20424
256
799
55
430
3649
49022
0
112190
152
0
307
720
1011
590
87
191
20328
2086
20081
14423
240
529
86
6205
38492
2916
0
272
12338
37327
4152
7091
21237
21145
26261
10244
3293
9154
775
5495
13071
2261
251
448
284
42
0
11773
6658
429
529
175
17176
398
8634
0
8242
7971
33171
822
1429
0
22198
1865
5787
2169
26
6324
24712
112
15915
438
6083
124
72
2055
20
5965
2930
3459
19
4907
18
1506
302
2666
10332
381
572
309
